city_code,district_name,district_code
11,강남구,11680
11,강동구,11740
11,강북구,11305
11,강서구,11500
11,관악구,11620
11,광진구,11215
11,구로구,11530
11,금천구,11545
11,노원구,11350
11,도봉구,11320
11,동대문구,11230
11,동작구,11590
11,마포구,11440
11,서대문구,11410
11,서초구,11650
11,성동구,11200
11,성북구,11290
11,송파구,11710
11,양천구,11470
11,영등포구,11560
11,용산구,11170
11,은평구,11380
11,종로구,11110
11,중구,11140
11,중랑구,11260
41,가평군,41820
41,고양시 덕양구,41281
41,고양시 일산동구,41285
41,고양시 일산서구,41287
41,과천시,41290
41,광명시,41210
41,광주시,41610
41,구리시,41310
41,군포시,41410
41,김포시,41570
41,남양주시,41360
41,동두천시,41250
41,부천시 소사구,41194
41,부천시 오정구,41196
41,부천시 원미구,41192
41,성남시 분당구,41135
41,성남시 수정구,41131
41,성남시 중원구,41133
41,수원시 권선구,41113
41,수원시 영통구,41117
41,수원시 장안구,41111
41,수원시 팔달구,41115
41,시흥시,41390
41,안산시 단원구,41273
41,안산시 상록구,41271
41,안성시,41550
41,안양시 동안구,41173
41,안양시 만안구,41171
41,양주시,41630
41,양평군,41830
41,여주시,41670
41,연천군,41800
41,오산시,41370
41,용인시 기흥구,41463
41,용인시 수지구,41465
41,용인시 처인구,41461
41,의왕시,41430
41,의정부시,41150
41,이천시,41500
41,파주시,41480
41,평택시,41220
41,포천시,41650
41,하남시,41450
41,화성시,41590
28,강화군,28710
28,계양구,28245
28,남동구,28200
28,동구,28140
28,미추홀구,28177
28,부평구,28237
28,서구,28260
28,연수구,28185
28,중구,28110
26,강서구,26440
26,금정구,26410
26,기장군,26710
26,남구,26290
26,동구,26170
26,동래구,26260
26,부산진구,26230
26,북구,26320
26,사상구,26530
26,사하구,26380
26,서구,26140
26,수영구,26500
26,연제구,26470
26,영도구,26200
26,중구,26110
26,해운대구,26350
30,대덕구,30230
30,동구,30110
30,서구,30170
30,유성구,30200
30,중구,30140
27,남구,27200
27,달서구,27290
27,달성군,27710
27,동구,27140
27,북구,27230
27,서구,27170
27,수성구,27260
27,중구,27110
27,군위군,27720
31,남구,31140
31,동구,31170
31,북구,31200
31,울주군,31710
31,중구,31110
36,세종시,36110
29,광산구,29200
29,남구,29155
29,동구,29110
29,북구,29170
29,서구,29140
51,강릉시,51150
51,고성군,51820
51,동해시,51170
51,삼척시,51230
51,속초시,51210
51,양구군,51800
51,양양군,51830
51,영월군,51750
51,원주시,51130
51,인제군,51810
51,정선군,51770
51,철원군,51780
51,춘천시,51110
51,태백시,51190
51,평창군,51760
51,홍천군,51720
51,화천군,51790
51,횡성군,51730
43,괴산군,43760
43,단양군,43800
43,보은군,43720
43,영동군,43740
43,옥천군,43730
43,음성군,43770
43,제천시,43150
43,증평군,43745
43,진천군,43750
43,청주시 상당구,43111
43,청주시 서원구,43112
43,청주시 청원구,43114
43,청주시 흥덕구,43113
43,충주시,43130
44,계룡시,44250
44,공주시,44150
44,금산군,44710
44,논산시,44230
44,당진시,44270
44,보령시,44180
44,부여군,44760
44,서산시,44210
44,서천군,44770
44,아산시,44200
44,예산군,44810
44,천안시 동남구,44131
44,천안시 서북구,44133
44,청양군,44790
44,태안군,44825
44,홍성군,44800
47,경산시,47290
47,경주시,47130
47,고령군,47830
47,구미시,47190
47,김천시,47150
47,문경시,47280
47,봉화군,47920
47,상주시,47250
47,성주군,47840
47,안동시,47170
47,영덕군,47770
47,영양군,47760
47,영주시,47210
47,영천시,47230
47,예천군,47900
47,울진군,47930
47,의성군,47730
47,청도군,47820
47,청송군,47750
47,칠곡군,47850
47,포항시 남구,47111
47,포항시 북구,47113
48,거제시,48310
48,거창군,48880
48,고성군,48820
48,김해시,48250
48,남해군,48840
48,밀양시,48270
48,사천시,48240
48,산청군,48860
48,양산시,48330
48,의령군,48720
48,진주시,48170
48,창녕군,48740
48,창원시 마산합포구,48125
48,창원시 마산회원구,48127
48,창원시 성산구,48123
48,창원시 의창구,48121
48,창원시 진해구,48129
48,통영시,48220
48,하동군,48850
48,함안군,48730
48,함양군,48870
48,합천군,48890
52,고창군,52790
52,군산시,52130
52,김제시,52210
52,남원시,52190
52,무주군,52730
52,부안군,52800
52,순창군,52770
52,완주군,52710
52,익산시,52140
52,임실군,52750
52,장수군,52740
52,전주시 덕진구,52113
52,전주시 완산구,52111
52,정읍시,52180
52,진안군,52720
46,강진군,46810
46,고흥군,46770
46,곡성군,46720
46,광양시,46230
46,구례군,46730
46,나주시,46170
46,담양군,46710
46,목포시,46110
46,무안군,46840
46,보성군,46780
46,순천시,46150
46,신안군,46910
46,여수시,46130
46,영광군,46870
46,영암군,46830
46,완도군,46890
46,장성군,46880
46,장흥군,46800
46,진도군,46900
46,함평군,46860
46,해남군,46820
46,화순군,46790
50,서귀포시,50130
50,제주시,50110
